split_mode,split_label,dataset_rows,model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
grouped,"Known robots, new cases",9000,Logistic regression,context_20,+20 geometry/state,128,0.81045292052865,0.005717558146037124,0.8208798212780065,0.7236281990337373,0.0073467176820742235,877.75,0.4419043705435286,0.15882575691405995,0.0004673541698139161
grouped,"Known robots, new cases",9000,Logistic regression,context_22,+22 full context,130,0.8497698463889999,0.006543730855919182,0.8667313836833933,0.7554608487707606,0.009207078851737318,877.75,0.3365264276655064,0.16651806250835458,0.0004468679107958451
grouped,"Known robots, new cases",9000,MLP-24,baseline,Baseline,108,0.851429164074077,0.00623710486847595,0.8674998908295395,0.8050356395286685,0.007015026142669841,877.75,0.36259624064802076,0.7485104548250092,0.0005226039987367889
grouped,"Known robots, new cases",9000,MLP-24,context_10,+10 difficulty/reach,118,0.9007751256487331,0.004954437436697097,0.9099099833143679,0.8514658580808369,0.0071459927864706875,877.75,0.23852586797925515,0.8960267327493057,0.000563031256509324
grouped,"Known robots, new cases",9000,MLP-24,context_20,+20 geometry/state,128,0.9034457291895572,0.005752200333048947,0.9129356775684156,0.8580649204260329,0.0070128593822575205,877.75,0.2364970397294287,0.7935439408368742,0.0005415832420112565
grouped,"Known robots, new cases",9000,MLP-24,context_22,+22 full context,130,0.9021335619590727,0.006534238142837747,0.9112405202692183,0.8571022360571954,0.009408988056855857,877.75,0.23621996471224008,0.8596216910809744,0.0005882429977646098
grouped,"Known robots, new cases",10000,Logistic regression,baseline,Baseline,108,0.6217075099277509,0.0072697139764544725,0.679409125593117,0.7153477716310128,0.008615240992954938,972.0833333333334,0.7508105821915487,0.03553591683642784,0.0004869791688785578
grouped,"Known robots, new cases",10000,Logistic regression,context_10,+10 difficulty/reach,118,0.8106944316836558,0.005128911938602826,0.8226331354932004,0.7124648004190474,0.004178560716065777,972.0833333333334,0.446344741968322,0.16139348974199189,0.0005272535005739579
grouped,"Known robots, new cases",10000,Logistic regression,context_20,+20 geometry/state,128,0.8130272318101412,0.005418112119697241,0.8236010459797702,0.72641292013917,0.006089429338542309,972.0833333333334,0.4366161781266056,0.1881342188377554,0.0005295312536569933
grouped,"Known robots, new cases",10000,Logistic regression,context_22,+22 full context,130,0.8526601072915168,0.006158399466747642,0.8696146370366101,0.7605031340557108,0.008645092524439632,972.0833333333334,0.3300829450235381,0.2087455139941691,0.000545364668748031
grouped,"Known robots, new cases",10000,MLP-24,baseline,Baseline,108,0.8561962655077208,0.00603357785774649,0.8709989527976575,0.8089621014028089,0.009205416372035181,972.0833333333334,0.34780440411948493,0.7935564132494619,0.0006487292606228342
grouped,"Known robots, new cases",10000,MLP-24,context_10,+10 difficulty/reach,118,0.9029533524817165,0.0068707915043225345,0.9133141272965813,0.8542076157611326,0.01069928585217754,972.0833333333334,0.2325081854968197,1.157293020922225,0.0005993820135093605
grouped,"Known robots, new cases",10000,MLP-24,context_20,+20 geometry/state,128,0.9070279946539325,0.008608000891684203,0.9152278164749511,0.8628613137416234,0.01145251075194807,972.0833333333334,0.22258922210236687,1.0593772394931875,0.0006389652504973734
grouped,"Known robots, new cases",10000,MLP-24,context_22,+22 full context,130,0.9020419105927711,0.005808121964907707,0.9109145951959058,0.8566505429021573,0.00822262944685183,972.0833333333334,0.22931956399479503,0.9345030453405343,0.0006182985768343011
robot-held-out,Completely unseen robot,1000,Logistic regression,baseline,Baseline,108,0.28450049481547685,0.05151144363664711,0.36701813766442254,0.2594879346572799,0.053193819848700516,163.0,1.3399554993152056,0.007257385504393217,0.00017528125317767262
robot-held-out,Completely unseen robot,1000,Logistic regression,context_10,+10 difficulty/reach,118,0.31290827343146727,0.06294311116661377,0.403534843661413,0.2608057763864901,0.06149940234787234,163.0,1.4603180446568924,0.010184649499327255,0.00017046874078611532
robot-held-out,Completely unseen robot,1000,Logistic regression,context_20,+20 geometry/state,128,0.41128289329649426,0.07743048060589729,0.47528149032924166,0.27944018434317586,0.03841257457760744,163.0,1.0691898610698523,0.012109312587805713,0.00019036465770720193
robot-held-out,Completely unseen robot,1000,Logistic regression,context_22,+22 full context,130,0.35138430498357315,0.08078280310163241,0.44927164549426873,0.2131416368474854,0.08841363755534222,163.0,1.1901068840250832,0.012094243002745012,0.0001720556707975144
