family,trial,state,macro_f1_mean,macro_f1_std,log_loss_mean,duration_seconds,params_json
lightgbm,10,COMPLETE,0.910103271148038,0.014378140349775817,0.20623355626351825,18.79926,"{""colsample"": 0.8823546497923954, ""estimators"": 250, ""learning_rate"": 0.030171143698149754, ""max_depth"": 24, ""min_child_samples"": 34, ""num_leaves"": 85, ""reg_alpha"": 0.039612726817292755, ""reg_lambda"": 18.394401399937387, ""subsample"": 0.8940193079947225}"
lightgbm,11,COMPLETE,0.9135372895121424,0.012270060134339116,0.2008722626432042,36.695796,"{""colsample"": 0.8927646109682571, ""estimators"": 600, ""learning_rate"": 0.028751292288749127, ""max_depth"": 24, ""min_child_samples"": 51, ""num_leaves"": 65, ""reg_alpha"": 0.00015759011328378772, ""reg_lambda"": 15.975925363916081, ""subsample"": 0.9470542355928171}"
catboost,0,COMPLETE,0.9021122143579251,0.019197976230966238,0.24529388480329228,227.343507,"{""depth"": 8, ""iterations"": 850, ""l2"": 0.00992145067549978, ""learning_rate"": 0.09975819706388973, ""random_strength"": 0.03592728146312619}"
catboost,1,COMPLETE,0.911462598876854,0.01289177583833737,0.2152823758839295,184.32803,"{""depth"": 10, ""iterations"": 350, ""l2"": 0.9866138030972254, ""learning_rate"": 0.15772648222524277, ""random_strength"": 0.006809790754909064}"
catboost,2,COMPLETE,0.9037729063643464,0.011925998813674052,0.21544320391394547,31.437722,"{""depth"": 6, ""iterations"": 300, ""l2"": 0.02177014739773331, ""learning_rate"": 0.08212099422214722, ""random_strength"": 0.006942445171173606}"
catboost,3,COMPLETE,0.8942885262499346,0.01647123675882168,0.23217226077510245,29.901182,"{""depth"": 6, ""iterations"": 300, ""l2"": 8.345627608118365, ""learning_rate"": 0.054625955427264006, ""random_strength"": 0.8738708277429152}"
catboost,4,COMPLETE,0.8928673575410526,0.012808284353308193,0.2331013169860472,19.25921,"{""depth"": 5, ""iterations"": 250, ""l2"": 0.23012049580459076, ""learning_rate"": 0.04677887529601891, ""random_strength"": 0.056551579838051765}"
catboost,5,COMPLETE,0.9033726211940168,0.01719797722299036,0.228095011462936,122.176524,"{""depth"": 8, ""iterations"": 400, ""l2"": 0.0032450003163070583, ""learning_rate"": 0.13531209283765258, ""random_strength"": 0.002234192119059583}"
catboost,6,COMPLETE,0.899817318392786,0.0248623917294725,0.25629558188652446,493.51904,"{""depth"": 10, ""iterations"": 850, ""l2"": 0.3639223336127271, ""learning_rate"": 0.09513394187225271, ""random_strength"": 2.1812217492374932}"
catboost,7,COMPLETE,0.8943116488394162,0.021022956959741317,0.22969589151688366,67.296238,"{""depth"": 5, ""iterations"": 700, ""l2"": 8.64908911905123, ""learning_rate"": 0.07428333461100167, ""random_strength"": 2.9328599394755845}"
catboost,8,COMPLETE,0.9090301604639719,0.009416291146681343,0.20627400864304302,138.910467,"{""depth"": 7, ""iterations"": 900, ""l2"": 1.1290617948630146, ""learning_rate"": 0.049983725252286525, ""random_strength"": 0.05679228242155378}"
